web_scraper_order,web_scraper_start_url,data2,email,data22,data,data3,website
1778389591-178,https://www.nepalstock.com.np/company,Green Ventures Limited,frontdesk@trivenihydro.com,178,GVL,Hydro Power,www.greenventuresnepal.com
1778389591-179,https://www.nepalstock.com.np/company,Balephi Hydropower Limited,info.balephi@gmail.com,179,BHL,Hydro Power,www.balephihydro.com
1778389591-180,https://www.nepalstock.com.np/company,Upakar Laghubitta Bittiya Sanstha Limited,upakar.banke1@gmail.com,180,ULBSL,Microfinance,www.ulbsl.com.np
1778389591-181,https://www.nepalstock.com.np/company,CYC Nepal Laghubitta Bittiya Sanstha Limited,info@cycnlbsl.org.np,181,CYCL,Microfinance,www.cycnlbsl.org.np
1778389591-182,https://www.nepalstock.com.np/company,River Falls Power Limited,riverfallshydropower@gmail.com,182,RFPL,Hydro Power,www.riverfallshydro.com.np
1778389591-183,https://www.nepalstock.com.np/company,Dordi Khola Jal Bidyut Company Limited,info@dordikhola.com.np,183,DORDI,Hydro Power,www.dordikhola.com.np
1778389591-184,https://www.nepalstock.com.np/company,Bindhyabasini Hydropower Development Company Limited,info.bhdc@rmgroup.com.np,184,BHDC,Hydro Power,https://bindhyabasinihydro.com.np
1778389591-185,https://www.nepalstock.com.np/company,Himalayan Hydropower Limited,himalayanhydro2021@gmail.com,185,HHL,Hydro Power,www.hhpl.com.np
1778389591-186,https://www.nepalstock.com.np/company,Upper Hewakhola Hydropower Company Limited,upperhewahpc@gmail.com,186,UHEWA,Hydro Power,upperhewahpc.com.np
1778389591-187,https://www.nepalstock.com.np/company,Swet-Ganga Hydropower & Construction Limited,sghcl@sanimahydro.com,187,SGHC,Hydro Power,www.swetgangahydropower.com
1778389591-188,https://www.nepalstock.com.np/company,Mandakini Hydropower Limited,mandakini.hydropower@gmail.com,188,MHL,Hydro Power,www.mandakinihydro.com.np
1778389591-189,https://www.nepalstock.com.np/company,Upper Solu Hydro Electric Company Limited,ushec@info.com.np,189,USHEC,Hydro Power,www.ushec.com.np
1778389591-190,https://www.nepalstock.com.np/company,Rapti Hydro And General Construction Limited,info@raptihydro.com.np,190,RHGCL,Hydro Power,www.raptihydro.com.np
1778389591-191,https://www.nepalstock.com.np/company,Aviyan Laghubitta Bittiya Sanstha Limited,aviyanlaghu@gmail.com,191,AVYAN,Microfinance,https://www.aviyanlaghubitta.com/
1778389591-192,https://www.nepalstock.com.np/company,Sayapatri Hydropower Limited,info@sayapatrihydropower.com,192,SPHL,Hydro Power,www.sayapatrihydropower.com
1778389591-193,https://www.nepalstock.com.np/company,People's Power Limited,peoplespowerltd@gmail.com,193,PPL,Hydro Power,www.peoplespower.com.np
1778389591-194,https://www.nepalstock.com.np/company,Dhaulagiri Laghubitta Bittiya Sanstha Limited,dlbsbank.headoffice@gmail.com,194,DLBS,Microfinance,www.dhaulagiribank.com
1778389591-195,https://www.nepalstock.com.np/company,Sikles Hydropower Limited,sikleshydro13mw@gmail.com,195,SIKLES,Hydro Power,www.sikleshydro.com.np
1778389591-196,https://www.nepalstock.com.np/company,Eastern Hydropower Limited,pikhuwakhola5@gmail.com,196,EHPL,Hydro Power,www.ehpl.com.np
1778389591-197,https://www.nepalstock.com.np/company,Shrijanshil Laghubitta Bittiya Sanstha Limited,info@shrijanshil.com.np,197,SHLB,Microfinance,www.shrijanshil.org
1778389591-198,https://www.nepalstock.com.np/company,Peoples Hydropower Company Limited,peoples.hydro5@gmail.com,198,PHCL,Hydro Power,https://peopleshydro.com.np/
1778389591-199,https://www.nepalstock.com.np/company,Barahi Hydropower Public Limited,bhpl.acc@gmail.com,199,BHPL,Hydro Power,www.barahihydropower.com.np
1778389591-200,https://www.nepalstock.com.np/company,Unique Nepal Laghubitta Bittiya Sanstha Limited,info@unlbsl.com.np,200,UNLB,Microfinance,https://uniquenepalmicrofinance.com.np
1778389591-201,https://www.nepalstock.com.np/company,Super Madi Hydropower Limited,supermadihydro@gmail.com,201,SMHL,Hydro Power,www.supermadihydro.com.np
1778389591-202,https://www.nepalstock.com.np/company,Shuvam Power Limited,shuvampower@gmail.com,202,SPL,Hydro Power,www.shuvamhydro.com.np
1778389591-203,https://www.nepalstock.com.np/company,Super Mai Hydropower Limited,supermaihydropower@gmail.com,203,SMH,Hydro Power,www.supermaihydro.com.np
1778389591-204,https://www.nepalstock.com.np/company,Maya Khola Hydropower Company Limited,dpshresths@gmail.com,204,MKHC,Hydro Power,www.mkhpcl.com.np
1778389591-205,https://www.nepalstock.com.np/company,Asian Hydropower Limited,info@asianhydro.com.np,205,AHL,Hydro Power,https://asianhydro.com.np/
1778389591-206,https://www.nepalstock.com.np/company,Kalinchowk Darshan Limited,darshankalinchowk@gmail.com,206,KDL,Hotels And Tourism,www.kalinchowkdarshan.com.np
1778389591-207,https://www.nepalstock.com.np/company,Sanima Middle Tamor Hydropower Limited,middletamor@sanimahydro.com,207,TAMOR,Hydro Power,https://middletamor.com/
1778389591-208,https://www.nepalstock.com.np/company,Molung Hydropower Company Limited,molung.office@gmail.com,208,MHCL,Hydro Power,www.molunghydropwer.com.np
1778389591-209,https://www.nepalstock.com.np/company,Sagarmatha Jalabidhyut Company Limited,sagarmathahydropower@gmail.com,209,SMJC,Hydro Power,https://sagarmathajbc.com.np
1778389591-210,https://www.nepalstock.com.np/company,Aatmanirbhar Laghubitta Bittiya Sanstha Limited,aatmanirbhar2076@gmail.com,210,ANLB,Microfinance,https://aatmanirbhar.com.np
1778389591-211,https://www.nepalstock.com.np/company,Makar Jitumaya Suri Hydropower Limited,mjs.hydropower2065@gmail.com,211,MAKAR,Hydro Power,www.mjshydropower.com.np
1778389591-212,https://www.nepalstock.com.np/company,Mai Khola Hydropower Limited,maikholahydro@gmail.com,212,MKHL,Hydro Power,https://maikholahydropower.com.np
1778389591-213,https://www.nepalstock.com.np/company,Dolti Power Company Limited,info@doltipower.com.np,213,DOLTI,Hydro Power,www.doltipower.org.np
1778389591-214,https://www.nepalstock.com.np/company,Bhugol Energy Development Company Limited,energy.bhugol@gmail.com,214,BEDC,Hydro Power,www.bedc.com.np
1778389591-215,https://www.nepalstock.com.np/company,City Hotel Limited,info@cityhotel.com.np,215,CITY,Hotels And Tourism,https://cityhotel.com.np/
1778389591-216,https://www.nepalstock.com.np/company,Menchhiyam Hydropower Limited,menchhiyam@gmail.com,216,MCHL,Hydro Power,www.menchhiyamhydropower.com
1778389591-217,https://www.nepalstock.com.np/company,Ingwa Hydropower Limited,hydropoweringwa@gmail.com,217,IHL,Hydro Power,www.ingwahydropowerltd.com.np
1778389591-218,https://www.nepalstock.com.np/company,Modi Energy Limited,info@modihydro.com,218,MEL,Hydro Power,www.modihydro.com
1778389591-219,https://www.nepalstock.com.np/company,Rawa Energy Development Limited,rawa.hydro@gmail.com,219,RAWA,Hydro Power,www.rawaenergy.com.np
1778389591-220,https://www.nepalstock.com.np/company,Nepal Republic Media Limited,info@nagariknews.com,220,NRM,Others,www.nepalrepublicmedia.com
1778389591-221,https://www.nepalstock.com.np/company,IME Life Insurance Company Limited,info@imelifeinsurance.com,221,ILI,Life Insurance,www.imelifeinsurance.com
1778389591-222,https://www.nepalstock.com.np/company,Upper Syange Hydropower Limited,upper.syange@gmail.com,222,USHL,Hydro Power,www.uppersyange.com
1778389591-223,https://www.nepalstock.com.np/company,Ghorahi Cement Industry Limited,enquiry@ghorahicement.com,223,GCIL,Manufacturing And Processing,www.ghorahicement.com.np
1778389591-224,https://www.nepalstock.com.np/company,Three Star Hydropower Limited,sapsu2016@gmail.com,224,TSHL,Hydro Power,threestarhydro.com
1778389591-225,https://www.nepalstock.com.np/company,Kutheli Bukhari Small Hydropower Limited,kuthelihydro@gmail.com,225,KBSH,Hydro Power,kuthelihydropower.com.np
1778389591-226,https://www.nepalstock.com.np/company,Reliable Nepal Life Insurance Limited,share@reliablelife.com.np,226,RNLI,Life Insurance,https://reliablelife.com.np
1778389591-227,https://www.nepalstock.com.np/company,Sun Nepal Life Insurance Company Limited,info@snlic.com.np,227,SNLI,Life Insurance,https://www.snlic.com.np/
1778389591-228,https://www.nepalstock.com.np/company,Manakamana Engineering Hydropower Limited,hydromanakamana@gmail.com,228,MEHL,Hydro Power,www.hydromanakamana.com.np
1778389591-229,https://www.nepalstock.com.np/company,Upper Lohore Khola Hydropower Company Limited,upperlohore.hydro@gmail.com,229,ULHC,Hydro Power,www.ulkhp.com
1778389591-230,https://www.nepalstock.com.np/company,Citizen Life Insurance Company Limited,info@citizenlifenepal.com,230,CLI,Life Insurance,www.citizenlifenepal.com
1778389591-231,https://www.nepalstock.com.np/company,Mandu Hydropower Limited,info@manduhydropower.com,231,MANDU,Hydro Power,www.manduhydropower.com
1778389591-232,https://www.nepalstock.com.np/company,Hathway Investment Nepal Limited,nepal.hathway@gmail.com,232,HATHY,Investment,https://www.hathwaynepal.com.np/
1778389591-233,https://www.nepalstock.com.np/company,Bhagawati Hydropower Development Company Limited,bhdcpokhara1@gmail.com,233,BGWT,Hydro Power,www.bhagawatihydro.com.np
1778389591-234,https://www.nepalstock.com.np/company,Mid Solu Hydropower Limited,midsolu.hydropower@gmail.com,234,MSHL,Hydro Power,https://midsoluhydropower.com.np/
1778389591-235,https://www.nepalstock.com.np/company,Sonapur Minerals And Oil Limited,finance@sonacement.com,235,SONA,Manufacturing And Processing,www.sonacement.com
1778389591-236,https://www.nepalstock.com.np/company,Mathillo Mailun Khola Jalvidhyut Limited,mailung@sanimahydro.com,236,MMKJL,Hydro Power,sanimamailung.com
1778389591-237,https://www.nepalstock.com.np/company,Trishuli Jal Vidhyut Company Limited,tjvclshare2080@gmail.com,237,TVCL,Hydro Power,
1778389591-238,https://www.nepalstock.com.np/company,Vision Lumbini Urja Company Limited,urja@visionlumbini.com.np,238,VLUCL,Hydro Power,www.visionlumbiniurja.com
1778389591-239,https://www.nepalstock.com.np/company,Muktinath Krishi Company Limited,info@muktinathkrishi.com,239,MKCL,Others,www.muktinathkrishi.com
1778389591-240,https://www.nepalstock.com.np/company,Chirkhwa Hydropower Limited,chirkhwa@gmail.com,240,CKHL,Hydro Power,www.chirkhwahpl.com
1778389591-241,https://www.nepalstock.com.np/company,Nepal Warehousing Company Limited,info@nwcl.com.np,241,NWCL,Others,www.nwcl.com.np
1778389591-242,https://www.nepalstock.com.np/company,Himalayan Reinsurance Limited,contactus@himalayanre.com,242,HRL,Others,www.himalayanre.com
1778389591-243,https://www.nepalstock.com.np/company,Sarbottam Cement Limited,info@sarbottamcement.com,243,SARBTM,Manufacturing And Processing,www.sarbottamcement.com
1778389591-244,https://www.nepalstock.com.np/company,Guardian Micro Life Insurance Limited,info@gmli.co,244,GMLI,Life Insurance,www.gmli.com.np
1778389591-245,https://www.nepalstock.com.np/company,Nepal Micro Insurance Company Limited,info@nepalmicro.com,245,NMIC,Non Life Insurance,www.nepalmicro.com
1778389591-246,https://www.nepalstock.com.np/company,Crest Micro Life Insurance Limited,info@cmli.com.np,246,CREST,Life Insurance,www.cmli.com.np
1778389591-247,https://www.nepalstock.com.np/company,Om Megashree Pharmaceuticals Limited,info@ommegashreepharmaceuticals.com,247,OMPL,Manufacturing And Processing,www.ommegashreepharmaceuticals.com
1778389591-248,https://www.nepalstock.com.np/company,Pure Energy Limited,info@pureenergynepal.com,248,PURE,Others,https://pureenergynepal.com/
1778389591-249,https://www.nepalstock.com.np/company,Trade Tower Limited,info@tradetower.com.np,249,TTL,Others,
1778389591-250,https://www.nepalstock.com.np/company,Sanvi Energy Limited,energysanvi513@gmail.com,250,SANVI,Hydro Power,www.sanvienergy.com
1778389591-251,https://www.nepalstock.com.np/company,Bikash Hydropower Company Limited,uppermachhakhola@gmail.com,251,BHCL,Hydro Power,www.bikashhydro.com.np
1778389591-252,https://www.nepalstock.com.np/company,Him Star Urja Company Limited,urjahimstar@gmail.com,252,HIMSTAR,Hydro Power,www.urjahimsta.com.np
1778389591-253,https://www.nepalstock.com.np/company,Mabilung Energy Limited,mabilung@gmail.com,253,MABEL,Hydro Power,www.mabilung.com
1778389591-254,https://www.nepalstock.com.np/company,Daramkhola Hydro Energy Limited,daramkholahydroenergy@gmail.com,254,DHEL,Hydro Power,https://daramkholahydro.com
1778389591-255,https://www.nepalstock.com.np/company,Sagar Distillery Limited,legal@sagardistilleries.com,255,SAGAR,Manufacturing And Processing,www.sagardistilleries.com
1778389591-256,https://www.nepalstock.com.np/company,Swastik Laghubitta Bittiya Sanstha Limited,swastik.financeanditdepart@gmail.com,256,SWASTIK,Microfinance,www.swastikmicrofinance.com
1778389591-257,https://www.nepalstock.com.np/company,Bungal Hydro Limited,info.kghep@gmail.com,257,BUNGAL,Hydro Power,bungalhydro.com.np
1778389591-258,https://www.nepalstock.com.np/company,Bandipur Cablecar and Tourism Limited,information@bandipurhill.com,258,BANDIPUR,Hotels And Tourism,www.bandipurhill.com
1778389591-259,https://www.nepalstock.com.np/company,Jhapa Energy Limited,solarpower@jhapaenergy.com.np,259,JHAPA,Others,https://jhapaenergy.com.np/
1778389591-260,https://www.nepalstock.com.np/company,Shreenagar Agritech Industries Limited,info@safnepal.com,260,SAIL,Manufacturing And Processing,www.safnepal.com
1778389591-261,https://www.nepalstock.com.np/company,SY Panel Nepal Limited,synepal34@gmail.com,261,SYPNL,Manufacturing And Processing,https://synepal.com/about.php
1778389591-262,https://www.nepalstock.com.np/company,Salapa Bikas Bank Limited,info@salapabikasbank.com.np,262,SABBL,Development Banks,www.salapabikasbank.com.np
1778389591-263,https://www.nepalstock.com.np/company,Reliance Spinning Mills Limited,info@reliancespinningnepal.com,263,RSML,Manufacturing And Processing,https://www.reliancespinningnepal.com/
1778389591-264,https://www.nepalstock.com.np/company,Hotel Forest Inn Limited,legal.hfin@gmail.com,264,HFIN,Hotels And Tourism,https://hotelforestinn.com.np/
1778389591-265,https://www.nepalstock.com.np/company,Solu Hydropower Limited,info@soluhydro.com,265,SOHL,Hydro Power,www.soluhydro.com
1778389591-266,https://www.nepalstock.com.np/company,Bhujung Hydropower Limited,bhujung.hydro@gmail.com,266,BJHL,Hydro Power,
1778389591-267,https://www.nepalstock.com.np/company,Super Khudi Hydropower Limited,info@superkhudi.com.np,267,SKHL,Hydro Power,www.superkhudi.com.np
1778389591-268,https://www.nepalstock.com.np/company,Ridge Line Energy Limited,info@ridgeline.com.np,268,RLEL,Hydro Power,www.ridgeline.com.np
1778389591-269,https://www.nepalstock.com.np/company,Suryakunda Hydro Electric Limited,info@suryakundahydro.com.np,269,SKHEL,Hydro Power,www.suryakundahydro.com.np
1778389591-270,https://www.nepalstock.com.np/company,Shikhar power Development Limited,shikhar.power71@gmail.com,270,SIPD,Hydro Power,shikharpower.com.np
1778389591-271,https://www.nepalstock.com.np/company,Palpa Cement Industries Limited,info@rmcnepal.com,271,PCIL,Manufacturing And Processing,www.tansencement.com
